workspace_id,workspace_name,capacity_name,report_id,report_name,report_total_pages,page_id,page_name,page_ordinal,view_date,view_count,unique_users,avg_dwell_seconds,top_persona
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p000,STUDY-101 — Study Overview,1,2026-02-27,1,1,22.2,Exec
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p001,STUDY-101 — Enrollment Funnel,2,2026-02-27,2,1,22.6,Med Director
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p002,STUDY-101 — Site Performance,3,2026-02-27,1,1,8.5,Biostatistician
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p004,STUDY-101 — Protocol Deviations,5,2026-02-27,1,1,16.7,Med Director
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p005,STUDY-101 — Adverse Events Summary,6,2026-02-27,5,2,17.8,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p006,STUDY-101 — Serious Adverse Events,7,2026-02-27,1,1,14.2,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p007,STUDY-101 — SUSAR Tracking,8,2026-02-27,2,1,15.7,Biostatistician
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p010,STUDY-101 — Vital Signs Trends,11,2026-02-27,8,2,26.6,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p011,STUDY-101 — ECG Findings,12,2026-02-27,14,3,30.1,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p013,STUDY-101 — Dose Modifications,14,2026-02-27,48,5,73.6,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p014,STUDY-101 — Discontinuations,15,2026-02-27,3,1,20.0,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p015,STUDY-101 — Demographics,16,2026-02-27,5,2,20.8,Commercial
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p016,STUDY-101 — Baseline Characteristics,17,2026-02-27,9,2,23.0,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p017,STUDY-101 — Patient Disposition,18,2026-02-27,5,2,15.1,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p018,STUDY-101 — Cohort Comparison,19,2026-02-27,7,2,27.5,Med Director
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p019,STUDY-101 — Efficacy Primary Endpoint,20,2026-02-27,2,1,21.4,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p020,STUDY-101 — Efficacy Secondary Endpoints,21,2026-02-27,2,1,14.8,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p021,STUDY-101 — Tumor Response (RECIST),22,2026-02-27,1,1,24.8,Biostatistician
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p022,STUDY-101 — Survival Curves,23,2026-02-27,1,1,21.5,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p024,STUDY-101 — Genomic Signatures,25,2026-02-27,2,1,21.0,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p025,STUDY-101 — PK/PD Modeling,26,2026-02-27,1,1,23.2,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p027,STUDY-101 — Data Quality Dashboard,28,2026-02-27,1,1,21.2,Med Director
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p028,STUDY-101 — Query Aging,29,2026-02-27,1,1,14.8,Exec
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p029,STUDY-101 — Monitoring Visits,30,2026-02-27,1,1,6.5,Biostatistician
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p030,STUDY-101 — IMP Accountability,31,2026-02-27,1,1,25.7,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p031,STUDY-101 — Temperature Excursions,32,2026-02-27,1,1,21.0,Exec
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p032,STUDY-101 — Vendor SLAs,33,2026-02-27,1,1,12.4,Biostatistician
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p033,STUDY-101 — Country Operations,34,2026-02-27,2,1,22.0,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p034,STUDY-101 — Recruitment Forecast,35,2026-02-27,1,1,15.2,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p037,STUDY-101 — Milestone Tracker,38,2026-02-27,1,1,17.3,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p038,STUDY-101 — Risk Register,39,2026-02-27,1,1,21.7,Exec
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p053,STUDY-101 — Investigator Brochure Updates,54,2026-02-27,1,1,19.0,Exec
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p001,STUDY-101 — Enrollment Funnel,2,2026-02-28,1,1,17.3,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p010,STUDY-101 — Vital Signs Trends,11,2026-02-28,1,1,25.1,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p011,STUDY-101 — ECG Findings,12,2026-02-28,5,2,40.4,Biostatistician
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p013,STUDY-101 — Dose Modifications,14,2026-02-28,9,2,75.9,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p014,STUDY-101 — Discontinuations,15,2026-02-28,1,1,23.3,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p016,STUDY-101 — Baseline Characteristics,17,2026-02-28,2,1,38.8,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p017,STUDY-101 — Patient Disposition,18,2026-02-28,1,1,21.4,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p020,STUDY-101 — Efficacy Secondary Endpoints,21,2026-02-28,1,1,16.8,Med Director
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p027,STUDY-101 — Data Quality Dashboard,28,2026-02-28,1,1,18.3,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p028,STUDY-101 — Query Aging,29,2026-02-28,1,1,24.7,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p032,STUDY-101 — Vendor SLAs,33,2026-02-28,1,1,13.0,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p040,STUDY-101 — Regulatory Submissions,41,2026-02-28,1,1,10.8,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p046,STUDY-101 — Central Lab QC,47,2026-02-28,1,1,28.9,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p048,STUDY-101 — IRT Drug Resupply,49,2026-02-28,1,1,14.7,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p051,STUDY-101 — Audit Findings,52,2026-02-28,1,1,13.9,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p001,STUDY-101 — Enrollment Funnel,2,2026-03-01,2,1,23.7,Med Director
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p005,STUDY-101 — Adverse Events Summary,6,2026-03-01,1,1,10.4,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p010,STUDY-101 — Vital Signs Trends,11,2026-03-01,2,1,19.3,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p011,STUDY-101 — ECG Findings,12,2026-03-01,1,1,40.2,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p013,STUDY-101 — Dose Modifications,14,2026-03-01,7,2,72.3,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p015,STUDY-101 — Demographics,16,2026-03-01,2,1,19.7,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p016,STUDY-101 — Baseline Characteristics,17,2026-03-01,3,1,42.0,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p017,STUDY-101 — Patient Disposition,18,2026-03-01,1,1,32.0,Med Director
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p019,STUDY-101 — Efficacy Primary Endpoint,20,2026-03-01,1,1,20.6,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p020,STUDY-101 — Efficacy Secondary Endpoints,21,2026-03-01,1,1,4.0,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p021,STUDY-101 — Tumor Response (RECIST),22,2026-03-01,1,1,17.0,Med Director
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p022,STUDY-101 — Survival Curves,23,2026-03-01,1,1,11.4,Biostatistician
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p023,STUDY-101 — Biomarker Analysis,24,2026-03-01,2,1,13.9,Commercial
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p024,STUDY-101 — Genomic Signatures,25,2026-03-01,1,1,24.9,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p025,STUDY-101 — PK/PD Modeling,26,2026-03-01,1,1,17.4,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p028,STUDY-101 — Query Aging,29,2026-03-01,1,1,11.2,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p032,STUDY-101 — Vendor SLAs,33,2026-03-01,1,1,12.0,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p033,STUDY-101 — Country Operations,34,2026-03-01,2,1,9.1,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p041,STUDY-101 — IRB/EC Approvals,42,2026-03-01,1,1,14.9,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p043,STUDY-101 — Translator Status,44,2026-03-01,1,1,14.6,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p051,STUDY-101 — Audit Findings,52,2026-03-01,1,1,24.9,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p052,STUDY-101 — Training Compliance,53,2026-03-01,1,1,22.9,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p054,STUDY-101 — Statistical Analysis Plan,55,2026-03-01,1,1,25.2,Med Director
