workspace_id,workspace_name,report_id,report_name,page_id,page_name,page_ordinal,report_total_pages
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p000,STUDY-101 — Study Overview,1,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p001,STUDY-101 — Enrollment Funnel,2,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p002,STUDY-101 — Site Performance,3,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p003,STUDY-101 — Screen Fail Reasons,4,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p004,STUDY-101 — Protocol Deviations,5,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p005,STUDY-101 — Adverse Events Summary,6,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p006,STUDY-101 — Serious Adverse Events,7,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p007,STUDY-101 — SUSAR Tracking,8,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p008,STUDY-101 — Concomitant Medications,9,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p009,STUDY-101 — Lab Out-of-Range,10,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p010,STUDY-101 — Vital Signs Trends,11,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p011,STUDY-101 — ECG Findings,12,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p012,STUDY-101 — Pharmacokinetics,13,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p013,STUDY-101 — Dose Modifications,14,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p014,STUDY-101 — Discontinuations,15,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p015,STUDY-101 — Demographics,16,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p016,STUDY-101 — Baseline Characteristics,17,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p017,STUDY-101 — Patient Disposition,18,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p018,STUDY-101 — Cohort Comparison,19,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p019,STUDY-101 — Efficacy Primary Endpoint,20,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p020,STUDY-101 — Efficacy Secondary Endpoints,21,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p021,STUDY-101 — Tumor Response (RECIST),22,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p022,STUDY-101 — Survival Curves,23,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p023,STUDY-101 — Biomarker Analysis,24,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p024,STUDY-101 — Genomic Signatures,25,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p025,STUDY-101 — PK/PD Modeling,26,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p026,STUDY-101 — Exposure-Response,27,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p027,STUDY-101 — Data Quality Dashboard,28,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p028,STUDY-101 — Query Aging,29,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p029,STUDY-101 — Monitoring Visits,30,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p030,STUDY-101 — IMP Accountability,31,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p031,STUDY-101 — Temperature Excursions,32,60
ws-clinops,Clinical Operations,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,rep-clin-study101::p032,STUDY-101 — Vendor SLAs,33,60
